City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,68.0,scattered clouds,-33.5906,26.891,The Halyards Hotel
1,Padang,ID,78.8,few clouds,-0.9492,100.3543,Mercure Padang
2,Yulara,AU,86.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
5,Oliveira Dos Brejinhos,BR,70.95,moderate rain,-12.3169,-42.8961,Hotel Paraiso
8,Upington,ZA,75.51,clear sky,-28.4478,21.2561,River Place Manor
11,Iquitos,PE,77.0,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
14,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,Pension Maro'i
24,Hermanus,ZA,66.99,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Christchurch,NZ,68.0,few clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
30,Atuona,PF,80.02,overcast clouds,-9.8,-139.0333,Villa Enata
38,Port Elizabeth,ZA,69.8,clear sky,-33.918,25.5701,39 On Nile Guest House
39,Hobart,AU,66.99,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
40,San Patricio,US,66.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
41,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
43,Carnarvon,AU,84.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
45,New Norfolk,AU,66.99,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,Kapaa,US,73.99,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
49,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
54,Saint-Philippe,RE,78.8,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Garissa,KE,76.39,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
58,Coffs Harbour,AU,82.0,overcast clouds,-30.3,153.1333,Aquajet Motel
60,Alugan,PH,80.47,overcast clouds,12.2188,125.4808,JM Lodge
64,Namwala,ZM,66.2,overcast clouds,-15.7504,26.4384,Corner Point Lodge
66,Antofagasta,CL,66.2,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
67,Alofi,NU,86.0,moderate rain,-19.0595,-169.9187,Taloa Heights
68,Bengkulu,ID,79.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Alta Floresta,BR,71.13,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
74,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
77,Chuy,UY,66.87,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Santa Rosa,PH,84.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
84,Tuatapere,NZ,71.89,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
86,Rio Claro,BR,71.6,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
87,Victoria,HK,71.01,clear sky,22.2855,114.1577,Mini Hotel Central
88,Navrongo,GH,80.44,few clouds,10.8956,-1.0921,Azakka Hotel
91,Mataura,NZ,80.42,clear sky,-46.1927,168.8643,Ellie's Villa
92,Bredasdorp,ZA,66.2,light rain,-34.5322,20.0403,Bredasdorp Country Manor
93,Isangel,VU,86.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
94,Ixtapa,MX,72.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
96,Amahai,ID,85.5,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
101,Madang,PG,83.07,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
102,Tabou,CI,79.09,clear sky,4.423,-7.3528,hotêl doufoulougou
105,Ahipara,NZ,70.07,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
106,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
107,Cape Town,ZA,70.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
109,Pisco,PE,71.6,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
113,Nakhon Phanom,TH,68.0,clear sky,17.3333,104.4167,ป่ายางรีสอร์ท
116,Kuching,MY,75.2,heavy intensity rain,1.55,110.3333,Hilton Kuching
117,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Kaeo,NZ,70.0,broken clouds,-35.1,173.7833,Bushido Lodge
124,Bubaque,GW,79.39,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
126,East London,ZA,74.55,light rain,-33.0153,27.9116,Tu Casa
127,Vanimo,PG,82.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
133,Hithadhoo,MV,81.34,clear sky,-0.6,73.0833,Scoop Guest House
134,Fajardo,PR,78.8,few clouds,18.3258,-65.6524,"El Conquistador, A Waldorf Astoria Resort"
140,Avarua,CK,86.0,scattered clouds,-21.2078,-159.775,Paradise Inn
143,Wodonga,AU,79.0,clear sky,-36.1167,146.8833,The Hume Inn Motel
144,Sao Joao Da Barra,BR,70.88,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
146,Arraial Do Cabo,BR,75.34,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
148,Sibolga,ID,78.62,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
153,Port Macquarie,AU,84.99,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
155,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
157,Poum,NC,79.99,clear sky,-20.2333,164.0167,Gîte kajeon
159,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
163,Cabo San Lucas,MX,70.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
164,Kandrian,PG,88.07,broken clouds,-6.2167,149.55,Kandrian Station
165,Punta Alta,AR,66.76,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
167,Surt,LY,66.43,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
168,Nago,JP,69.8,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
170,Saint-Leu,RE,77.0,broken clouds,-21.15,55.2833,La Caz Oceane
171,Marsabit,KE,68.63,clear sky,2.3284,37.9899,Chicho Hotel
172,Puerto Escondido,MX,80.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
173,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
174,Cidreira,BR,68.36,few clouds,-30.1811,-50.2056,Hotel Castelo
179,Waingapu,ID,83.7,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
183,Bambanglipuro,ID,80.42,overcast clouds,-7.95,110.2833,Puri Brata
184,Jupiter,US,73.0,clear sky,26.9342,-80.0942,Jupiter Beach Resort & Spa
186,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
187,Bowen,AU,87.8,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
190,Lorengau,PG,85.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
191,Bitung,ID,78.8,heavy intensity rain,1.4451,125.1824,K2 Lembeh
192,Meulaboh,ID,76.89,broken clouds,4.1363,96.1285,Kost Pria
194,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
195,Huarmey,PE,71.04,overcast clouds,-10.0681,-78.1522,Hotel Miramar
200,Niquelandia,BR,69.84,light rain,-14.4739,-48.4597,Hotel Suinã
202,Vao,NC,78.39,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
204,Chimbote,PE,70.7,overcast clouds,-9.0853,-78.5783,Hotel Briliá
206,Portobelo,PA,81.0,overcast clouds,9.55,-79.65,Scuba Portobelo
210,Pangai,TO,82.4,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
212,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
213,Vaitape,PF,82.85,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
214,Sao Geraldo Do Araguaia,BR,75.45,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
221,Faanui,PF,82.89,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
225,Matadi,CD,77.54,overcast clouds,-5.8167,13.45,Hotel Fortune
229,Loubomo,CG,73.69,moderate rain,-4.1997,12.6739,La Dolisienne
234,Ilhabela,BR,71.87,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
242,Tambun,ID,82.99,haze,-6.2641,107.0712,@HOM Premiere Tambun
243,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
244,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
246,Flic En Flac,MU,77.0,scattered clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
247,Namatanai,PG,86.18,overcast clouds,-3.6667,152.4333,Namatanai Hotel
249,Kailua,US,77.0,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
250,Tanete,ID,85.19,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
