City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,68.0,87,39,5.99,scattered clouds
1,Padang,ID,-0.9492,100.3543,78.8,73,20,2.3,few clouds
2,Yulara,AU,-25.2406,130.9889,86.0,23,1,17.27,clear sky
3,Ponta Do Sol,PT,32.6667,-17.1,54.0,67,12,1.99,few clouds
4,Busselton,AU,-33.65,115.3333,61.0,96,100,3.0,light rain
5,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,70.95,91,100,2.8,moderate rain
6,Ushuaia,AR,-54.8,-68.3,50.0,76,75,12.66,broken clouds
7,Chokurdakh,RU,70.6333,147.9167,-20.72,86,100,3.58,overcast clouds
8,Upington,ZA,-28.4478,21.2561,75.51,35,0,7.7,clear sky
9,Xichang,CN,27.8964,102.2634,44.67,58,0,1.72,clear sky
10,San Quintin,MX,30.4833,-115.95,61.97,67,0,9.17,clear sky
11,Iquitos,PE,-3.7481,-73.2472,77.0,88,0,2.57,clear sky
12,Sosnogorsk,RU,63.6023,53.8817,-23.73,85,100,12.44,overcast clouds
13,Albany,US,42.6001,-73.9662,26.01,46,0,4.5,clear sky
14,Rikitea,PF,-23.1203,-134.9692,78.78,65,100,10.85,overcast clouds
15,Barrow,US,71.2906,-156.7887,-5.8,77,90,14.97,haze
16,Kodiak,US,57.79,-152.4072,37.4,65,1,10.36,clear sky
17,Atlantic Beach,US,30.3344,-81.3987,61.0,88,90,4.61,mist
18,Iqaluit,CA,63.7506,-68.5145,26.6,68,90,11.5,overcast clouds
19,Dikson,RU,73.5069,80.5464,-28.1,86,90,9.6,overcast clouds
20,Jamestown,US,42.097,-79.2353,17.6,49,1,6.91,clear sky
21,Ancud,CL,-41.8697,-73.8203,62.6,51,0,11.5,clear sky
22,Sorland,NO,67.667,12.6934,35.22,79,8,19.93,clear sky
23,Krasnogvardeyskiy,RU,57.3793,62.3195,8.47,94,100,13.31,light snow
24,Hermanus,ZA,-34.4187,19.2345,66.99,93,100,3.51,light rain
25,Klaksvik,FO,62.2266,-6.589,33.8,75,75,18.41,light rain
26,Bemidji,US,47.4736,-94.8803,-16.01,76,1,10.36,clear sky
27,Tasiilaq,GL,65.6145,-37.6368,33.8,55,98,28.77,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,51.8,66,0,17.27,clear sky
29,Christchurch,NZ,-43.5333,172.6333,68.0,60,20,20.71,few clouds
30,Atuona,PF,-9.8,-139.0333,80.02,78,87,19.53,overcast clouds
31,Zonguldak,TR,41.25,31.8333,45.75,61,79,3.58,broken clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,19.57,snow
33,Mar Del Plata,AR,-38.0023,-57.5575,64.0,77,20,11.5,few clouds
34,Karakol,KG,42.4907,78.3936,28.72,83,100,2.3,overcast clouds
35,Terrace Bay,CA,48.7834,-87.1,-0.4,78,99,4.61,overcast clouds
36,Kastamonu,TR,41.5,33.6667,40.78,70,40,3.65,scattered clouds
37,Riyadh,SA,24.6877,46.7219,55.4,71,0,8.05,clear sky
38,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,0,19.57,clear sky
39,Hobart,AU,-42.8794,147.3294,66.99,45,75,16.11,broken clouds
40,San Patricio,US,28.017,-97.5169,66.2,55,1,5.44,clear sky
41,Butaritari,KI,3.0707,172.7902,81.23,79,71,20.2,broken clouds
42,Slave Lake,CA,55.2834,-114.769,-23.8,76,1,2.3,clear sky
43,Carnarvon,AU,-24.8667,113.6333,84.2,100,40,13.8,scattered clouds
44,Naryan-Mar,RU,67.6713,53.087,-26.27,85,99,13.15,overcast clouds
45,New Norfolk,AU,-42.7826,147.0587,66.99,47,74,3.0,broken clouds
46,Raudeberg,NO,61.9875,5.1352,23.0,74,0,9.22,clear sky
47,Kapaa,US,22.0752,-159.319,73.99,49,40,6.91,scattered clouds
48,Sept-Iles,CA,50.2001,-66.3821,26.6,74,100,11.5,overcast clouds
49,Vaini,TO,-21.2,-175.2,84.2,84,75,9.22,broken clouds
50,Delicias,ES,41.6493,-0.9076,46.99,76,20,19.57,few clouds
51,Yining,CN,29.0361,114.5636,57.27,76,0,1.14,clear sky
52,Cayenne,GF,4.9333,-52.3333,77.0,100,90,3.44,heavy intensity rain
53,Lompoc,US,34.6391,-120.4579,60.8,63,1,9.22,clear sky
54,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,75,6.91,broken clouds
55,Suraabad,AZ,40.8192,49.4687,48.2,76,0,25.32,clear sky
56,Garissa,KE,-0.4536,39.6401,76.39,68,0,9.62,clear sky
57,Lebu,CL,-37.6167,-73.65,58.32,93,36,2.26,scattered clouds
58,Coffs Harbour,AU,-30.3,153.1333,82.0,65,100,5.75,overcast clouds
59,Qaanaaq,GL,77.484,-69.3632,10.04,86,100,8.48,overcast clouds
60,Alugan,PH,12.2188,125.4808,80.47,85,100,15.21,overcast clouds
61,Belaya Gora,RU,68.5333,146.4167,-31.47,83,0,1.05,clear sky
62,Upernavik,GL,72.7868,-56.1549,18.59,75,0,3.47,clear sky
63,Saint-Ambroise,CA,48.5501,-71.3324,21.0,79,94,9.22,overcast clouds
64,Namwala,ZM,-15.7504,26.4384,66.2,97,100,3.2,overcast clouds
65,Copiapo,CL,-27.3667,-70.3333,60.8,82,90,12.66,overcast clouds
66,Antofagasta,CL,-23.65,-70.4,66.2,77,75,8.05,broken clouds
67,Alofi,NU,-19.0595,-169.9187,86.0,70,100,12.66,moderate rain
68,Bengkulu,ID,-3.8004,102.2655,79.27,71,99,4.23,overcast clouds
69,Castro,BR,-24.7911,-50.0119,60.3,96,8,9.78,clear sky
70,Asyut,EG,27.181,31.1837,53.6,82,0,5.75,clear sky
71,Alta Floresta,BR,-9.8756,-56.0861,71.13,99,100,3.51,overcast clouds
72,Bayanday,RU,53.0661,105.5139,4.93,88,100,1.63,overcast clouds
73,Yellowknife,CA,62.456,-114.3525,-41.01,74,1,3.44,mist
74,Kahului,US,20.8947,-156.47,78.8,50,40,11.5,scattered clouds
75,Falam,MM,22.9167,93.6833,46.65,52,0,3.06,clear sky
76,Karachi,PK,24.9056,67.0822,53.6,50,0,3.44,haze
77,Chuy,UY,-33.6971,-53.4616,66.87,86,0,9.84,clear sky
78,Katsuura,JP,35.1333,140.3,53.6,54,20,4.61,few clouds
79,Naco,MX,31.3347,-109.9483,51.01,28,0,3.0,clear sky
80,Brae,GB,60.3964,-1.353,33.8,60,90,14.97,overcast clouds
81,Damietta,EG,31.4165,31.8133,59.0,88,20,4.61,few clouds
82,Santa Rosa,PH,14.3122,121.1114,84.0,78,20,2.3,few clouds
83,Yar-Sale,RU,66.8333,70.8333,-27.92,86,100,16.15,overcast clouds
84,Tuatapere,NZ,-46.1333,167.6833,71.89,45,2,4.14,clear sky
85,Ostrovnoy,RU,68.0531,39.5131,8.01,92,100,9.6,overcast clouds
86,Rio Claro,BR,-22.4114,-47.5614,71.6,78,0,11.5,clear sky
87,Victoria,HK,22.2855,114.1577,71.01,62,0,1.01,clear sky
88,Navrongo,GH,10.8956,-1.0921,80.44,20,14,3.2,few clouds
89,Kofele,ET,7.0667,38.7833,49.78,77,11,2.91,few clouds
90,Jurado,CO,7.1053,-77.7641,78.35,86,99,1.05,overcast clouds
91,Mataura,NZ,-46.1927,168.8643,80.42,46,0,1.88,clear sky
92,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,96,3.44,light rain
93,Isangel,VU,-19.55,169.2667,86.0,79,20,5.75,few clouds
94,Ixtapa,MX,20.7,-105.2,72.0,78,40,5.75,scattered clouds
95,Burnie,AU,-41.0667,145.9167,61.0,85,10,5.01,clear sky
96,Amahai,ID,-3.3333,128.9167,85.5,66,100,1.61,overcast clouds
97,Krasnyy Oktyabr,RU,56.1167,38.8833,-3.14,90,100,8.63,overcast clouds
98,Sur,OM,22.5667,59.5289,62.19,65,0,6.24,clear sky
99,Talnakh,RU,69.4865,88.3972,-29.31,72,0,1.83,clear sky
100,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,100,90,29.93,snow
101,Madang,PG,-5.2246,145.7966,83.07,73,94,4.12,overcast clouds
102,Tabou,CI,4.423,-7.3528,79.09,89,0,9.15,clear sky
103,Vardo,NO,70.3705,31.1107,26.67,96,100,28.86,light snow
104,Lakselv,NO,70.0513,24.9718,24.8,74,75,24.16,light snow
105,Ahipara,NZ,-35.1667,173.1667,70.07,64,96,2.13,overcast clouds
106,Tautira,PF,-17.7333,-149.15,86.0,58,20,13.8,light rain
107,Cape Town,ZA,-33.9258,18.4232,70.0,83,20,11.5,few clouds
108,Khatanga,RU,71.9667,102.5,-35.48,78,0,8.43,clear sky
109,Pisco,PE,-13.7,-76.2167,71.6,83,75,9.22,broken clouds
110,Saskylakh,RU,71.9167,114.0833,-41.69,78,16,7.52,few clouds
111,Portland,US,45.5234,-122.6762,46.99,87,90,16.11,overcast clouds
112,Provideniya,RU,64.3833,-173.3,1.76,88,5,4.85,clear sky
113,Nakhon Phanom,TH,17.3333,104.4167,68.0,88,1,2.3,clear sky
114,Kurilsk,RU,45.2333,147.8833,18.21,90,100,12.3,overcast clouds
115,Tilichiki,RU,60.4667,166.1,19.0,90,100,16.69,overcast clouds
116,Kuching,MY,1.55,110.3333,75.2,100,40,2.35,heavy intensity rain
117,Hilo,US,19.7297,-155.09,78.8,53,75,5.75,broken clouds
118,Kaeo,NZ,-35.1,173.7833,70.0,76,72,7.0,broken clouds
119,Bluff,NZ,-46.6,168.3333,61.23,70,0,7.07,clear sky
120,Tiksi,RU,71.6872,128.8694,-26.0,84,100,4.85,overcast clouds
121,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,72,0,12.66,clear sky
122,Luderitz,NA,-26.6481,15.1594,68.13,66,0,21.56,clear sky
123,Kolosovka,RU,56.4678,73.611,27.91,98,100,18.32,snow
124,Bubaque,GW,11.2833,-15.8333,79.39,53,26,21.94,scattered clouds
125,Sangin,AF,32.0728,64.8359,50.79,40,82,3.11,broken clouds
126,East London,ZA,-33.0153,27.9116,74.55,87,74,14.99,light rain
127,Vanimo,PG,-2.6741,141.3028,82.29,78,100,4.27,overcast clouds
128,Fort Nelson,CA,58.8053,-122.7002,-20.2,76,1,2.39,clear sky
129,Abbeville,FR,50.1,1.8333,37.0,82,100,10.18,overcast clouds
130,Portales,US,34.1862,-103.3344,48.2,13,1,8.05,clear sky
131,Taozhuang,CN,34.85,117.3333,44.44,59,1,13.13,clear sky
132,Linxia,CN,35.6003,103.2064,30.29,70,100,0.96,overcast clouds
133,Hithadhoo,MV,-0.6,73.0833,81.34,76,0,13.38,clear sky
134,Fajardo,PR,18.3258,-65.6524,78.8,73,20,9.22,few clouds
135,Dakar,SN,14.6937,-17.4441,64.4,77,89,13.8,overcast clouds
136,Fortuna,US,40.5982,-124.1573,50.0,93,40,11.5,scattered clouds
137,Palmer,US,42.1584,-72.3287,27.0,54,20,6.02,few clouds
138,Arroyohondo,CO,10.2522,-75.0198,80.6,78,0,8.05,clear sky
139,Saint Anthony,US,45.0205,-93.218,-5.8,59,1,13.8,clear sky
140,Avarua,CK,-21.2078,-159.775,86.0,66,35,10.36,scattered clouds
141,Maniitsoq,GL,65.4167,-52.9,29.68,80,0,20.85,clear sky
